year,subjects,count,total,percentage
1833,Adams Family Finances,43,693,6.0
1833,Adams Family Relations,7,693,1.0
1833,Adams Family Residences,5,693,1.0
1833,African Americans,3,693,0.0
1833,Alien and Sedition Acts,1,693,0.0
1833,American Revolution,25,693,4.0
1833,American System,1,693,0.0
1833,Anti-Masonic Party,38,693,5.0
1833,Anti-Slavery Movements,1,693,0.0
1833,Anti-Slavery Petitions to Congress,3,693,0.0
1833,Asylum Movement,1,693,0.0
1833,Bank of the United States,31,693,4.0
1833,Boylston Professor of Rhetoric and Oratory (1805-1809),1,693,0.0
1833,Canals,2,693,0.0
1833,Colonization Movements,4,693,1.0
1833,Commerce,4,693,1.0
1833,Democratic-Republican Party (1801–1824),1,693,0.0
1833,Diplomacy/Diplomatic Activities,6,693,1.0
1833,Elections,9,693,1.0
1833,Emancipation,3,693,0.0
1833,Embargo,1,693,0.0
1833,Essex Junto,1,693,0.0
1833,Federalist Party,2,693,0.0
1833,Foreign Relations,10,693,1.0
1833,Hartford Convention (1814-1815),2,693,0.0
1833,Health and Illness,127,693,18.0
1833,Internal Improvements,5,693,1.0
1833,Jay Treaty (Anglo-American Commercial Treaty of 1795),1,693,0.0
1833,Napoleonic Wars,1,693,0.0
1833,National Republican Party,21,693,3.0
1833,Native Americans,5,693,1.0
1833,Nullification,22,693,3.0
1833,Presidential (1832),6,693,1.0
1833,Presidential (1836),3,693,0.0
1833,Press,61,693,9.0
1833,Railroads,7,693,1.0
1833,Recreation,83,693,12.0
1833,Religion,90,693,13.0
1833,Science and Technology,7,693,1.0
1833,Slavery,5,693,1.0
1833,South,1,693,0.0
1833,Spoils System,2,693,0.0
1833,Steam Power,6,693,1.0
1833,Supreme Court,9,693,1.0
1833,Tariff of 1828 (Abominations),2,693,0.0
1833,Temperance Movement,4,693,1.0
1833,Treaty of Ghent,2,693,0.0
1833,U.S. Constitution,10,693,1.0
1833,Unitarianism,4,693,1.0
1833,War of 1812,4,693,1.0
1834,Adams Family Finances,44,835,5.0
1834,Adams Family Relations,16,835,2.0
1834,Adams Family Residences,17,835,2.0
1834,African Americans,3,835,0.0
1834,Alien and Sedition Acts,1,835,0.0
1834,American Revolution,29,835,3.0
1834,Anti-Masonic Party,22,835,3.0
1834,Anti-Slavery Petitions to Congress,3,835,0.0
1834,Bank of the United States,105,835,13.0
1834,Canals,11,835,1.0
1834,Commerce,11,835,1.0
1834,Democratic Party (after 1824),1,835,0.0
1834,Diplomacy/Diplomatic Activities,23,835,3.0
1834,Elections,9,835,1.0
1834,Emancipation,2,835,0.0
1834,Federalist Party,1,835,0.0
1834,Foreign Relations,32,835,4.0
1834,French Revolution>,7,835,1.0
1834,Hartford Convention (1814-1815),1,835,0.0
1834,Health and Illness,112,835,13.0
1834,Indian Removal Act (1830),1,835,0.0
1834,Internal Improvements,35,835,4.0
1834,National Republican Party,4,835,0.0
1834,Native Americans,23,835,3.0
1834,Nullification,10,835,1.0
1834,Presidential (1832),2,835,0.0
1834,Presidential (1836),7,835,1.0
1834,Press,42,835,5.0
1834,Railroads,9,835,1.0
1834,Recreation,100,835,12.0
1834,Religion,78,835,9.0
1834,Roads,2,835,0.0
1834,Science and Technology,8,835,1.0
1834,Slavery,6,835,1.0
1834,Steam Power,10,835,1.0
1834,Supreme Court,9,835,1.0
1834,Temperance Movement,2,835,0.0
1834,Treaty of Ghent,1,835,0.0
1834,U.S. Constitution,11,835,1.0
1834,Unitarianism,4,835,0.0
1834,War of 1812,13,835,2.0
1834,Whig Party,8,835,1.0
1835,Adams Family Finances,46,507,9.0
1835,Adams Family Relations,16,507,3.0
1835,Adams Family Residences,4,507,1.0
1835,African Americans,4,507,1.0
1835,American Revolution,6,507,1.0
1835,American System,1,507,0.0
1835,Anti-Masonic Party,5,507,1.0
1835,Anti-Slavery Movements,4,507,1.0
1835,Anti-Slavery Petitions to Congress,4,507,1.0
1835,Bank of the United States,11,507,2.0
1835,Boylston Professor of Rhetoric and Oratory (1805-1809),2,507,0.0
1835,Canals,2,507,0.0
1835,Colonization Movements,2,507,0.0
1835,Commerce,1,507,0.0
1835,Democratic Party (after 1824),2,507,0.0
1835,Democratic-Republican Party (1801–1824),1,507,0.0
1835,Diplomacy/Diplomatic Activities,6,507,1.0
1835,Dueling,1,507,0.0
1835,Elections,21,507,4.0
1835,Emancipation,3,507,1.0
1835,Federalist Party,1,507,0.0
1835,Foreign Relations,30,507,6.0
1835,Health and Illness,54,507,11.0
1835,Internal Improvements,8,507,2.0
1835,Louisiana Purchase,1,507,0.0
1835,Missouri Compromise,1,507,0.0
1835,Native Americans,9,507,2.0
1835,Northwest Ordinance (1787),1,507,0.0
1835,Nullification,2,507,0.0
1835,Presidential (1828),1,507,0.0
1835,Presidential (1836),20,507,4.0
1835,Press,56,507,11.0
1835,Railroads,8,507,2.0
1835,Recreation,45,507,9.0
1835,Reform Movements,1,507,0.0
1835,Religion,54,507,11.0
1835,Science and Technology,8,507,2.0
1835,Slave Trade,1,507,0.0
1835,Slavery,7,507,1.0
1835,South,5,507,1.0
1835,States Rights,1,507,0.0
1835,Steam Power,4,507,1.0
1835,Supreme Court,7,507,1.0
1835,Temperance Movement,1,507,0.0
1835,U.S. Constitution,14,507,3.0
1835,Unitarianism,5,507,1.0
1835,War of 1812,3,507,1.0
1835,Westward Exploration and Expansion/Westward Migration/Manifest Destiny,3,507,1.0
1835,Whig Party,14,507,3.0
1836,Adams Family Finances,41,402,10.0
1836,Adams Family Relations,7,402,2.0
1836,Adams Family Residences,10,402,2.0
1836,African Americans,5,402,1.0
1836,Alien and Sedition Acts,4,402,1.0
1836,American Revolution,8,402,2.0
1836,Anti-Masonic Party,3,402,1.0
1836,Anti-Slavery Movements,3,402,1.0
1836,Anti-Slavery Petitions to Congress,4,402,1.0
1836,Articles of Confederation,3,402,1.0
1836,Bank of the United States,7,402,2.0
1836,Commerce,4,402,1.0
1836,Democratic Party (after 1824),1,402,0.0
1836,Diplomacy/Diplomatic Activities,2,402,0.0
1836,Dueling,3,402,1.0
1836,Elections,13,402,3.0
1836,Federalist Papers,5,402,1.0
1836,Foreign Relations,12,402,3.0
1836,French Revolution>,1,402,0.0
1836,Gag Rule,3,402,1.0
1836,Health and Illness,36,402,9.0
1836,Internal Improvements,6,402,1.0
1836,Louisiana Purchase,1,402,0.0
1836,Native Americans,18,402,4.0
1836,Nullification,3,402,1.0
1836,Presidential (1836),13,402,3.0
1836,Press,31,402,8.0
1836,Railroads,8,402,2.0
1836,Recreation,46,402,11.0
1836,Religion,36,402,9.0
1836,Roads,3,402,1.0
1836,Science and Technology,1,402,0.0
1836,Slavery,8,402,2.0
1836,Smithsonian Institution,4,402,1.0
1836,South,1,402,0.0
1836,Steam Power,7,402,2.0
1836,Supreme Court,2,402,0.0
1836,Temperance Movement,2,402,0.0
1836,Texas Revolution and Independence (1835–1836),13,402,3.0
1836,Treaty of Paris (1783),1,402,0.0
1836,U.S. Constitution,14,402,3.0
1836,Unitarianism,1,402,0.0
1836,War of 1812,1,402,0.0
1836,Westward Exploration and Expansion/Westward Migration/Manifest Destiny,1,402,0.0
1836,Whig Party,6,402,1.0
1837,Adams Family Finances,17,454,4.0
1837,Adams Family Residences,7,454,2.0
1837,African Americans,2,454,0.0
1837,American Revolution,23,454,5.0
1837,Anti-Slavery Movements,10,454,2.0
1837,Anti-Slavery Petitions to Congress,35,454,8.0
1837,Bank of the United States,13,454,3.0
1837,Colonization Movements,7,454,2.0
1837,Diplomacy/Diplomatic Activities,5,454,1.0
1837,Dueling,3,454,1.0
1837,Elections,1,454,0.0
1837,Emancipation,1,454,0.0
1837,Federalist Papers,1,454,0.0
1837,Federalist Party,2,454,0.0
1837,Foreign Relations,7,454,2.0
1837,Gag Rule,13,454,3.0
1837,Health and Illness,38,454,8.0
1837,Internal Improvements,1,454,0.0
1837,Louisiana Purchase,1,454,0.0
1837,Missouri Compromise,1,454,0.0
1837,Napoleonic Wars,1,454,0.0
1837,Native Americans,20,454,4.0
1837,Northwest Ordinance (1787),1,454,0.0
1837,Nullification,7,454,2.0
1837,Panic of 1837,7,454,2.0
1837,Presidential (1836),1,454,0.0
1837,Press,45,454,10.0
1837,Quasi War (Franco-American),1,454,0.0
1837,Railroads,3,454,1.0
1837,Recreation,46,454,10.0
1837,Reform Movements,1,454,0.0
1837,Religion,42,454,9.0
1837,Science and Technology,5,454,1.0
1837,Shays's Rebellion,1,454,0.0
1837,Slave Trade,7,454,2.0
1837,Slavery,17,454,4.0
1837,Smithsonian Institution,1,454,0.0
1837,South,8,454,2.0
1837,Steam Power,1,454,0.0
1837,Supreme Court,1,454,0.0
1837,Temperance Movement,2,454,0.0
1837,Texas Revolution and Independence (1835–1836),22,454,5.0
1837,Treaty of Ghent,2,454,0.0
1837,Treaty of Paris (1783),2,454,0.0
1837,U.S. Constitution,5,454,1.0
1837,Unitarianism,5,454,1.0
1837,War of 1812,3,454,1.0
1837,Westward Exploration and Expansion/Westward Migration/Manifest Destiny,2,454,0.0
1837,Whig Party,7,454,2.0
